Token(main_word, 'main', L1:C1)
Token(mayorQue, '>', L18:C17)
Token(numero_entero, '3', L18:C19)
Token(puntoComa, ';', L18:C20)
Token(identificador, 'x', L19:C1)
Token(asignacion, '=', L19:C3)
Token(numero_entero, '5', L19:C5)
Token(menorQue, '<', L19:C7)
Token(numero_entero, '10', L19:C9)
Token(opOr, '||', L19:C12)
Token(numero_entero, '8', L19:C15)
Token(mayorQue, '>', L19:C17)
Token(numero_entero, '3', L19:C19)
Token(puntoComa, ';', L19:C20)
Token(cin_word, 'cin', L20:C1)
Token(opIn, '>>', L20:C5)
Token(identificador, 'a', L20:C8)
Token(puntoComa, ';', L20:C9)
Token(cout_word, 'cout', L21:C1)
Token(opOut, '<<', L21:C6)
Token(cadena, 'Hola', L21:C9)
Token(puntoComa, ';', L21:C15)
Token(cout_word, 'cout', L22:C1)
Token(opOut, '<<', L22:C6)
Token(identificador, 'a', L22:C9)
Token(puntoComa, ';', L22:C10)
Token(cout_word, 'cout', L23:C1)
Token(opOut, '<<', L23:C6)
Token(cadena, 'Valor:', L23:C9)
Token(opOut, '<<', L23:C18)
Token(identificador, 'a', L23:C21)
Token(puntoComa, ';', L23:C22)
Token(cout_word, 'cout', L24:C1)
Token(opOut, '<<', L24:C6)
Token(identificador, 'a', L24:C9)
Token(opOut, '<<', L24:C11)
Token(cadena, ' unidades', L24:C14)
Token(puntoComa, ';', L24:C25)
Token(if_word, 'if', L25:C1)
Token(identificador, 'x', L25:C4)
Token(mayorQue, '>', L25:C6)
Token(numero_entero, '0', L25:C8)
Token(then_word, 'then', L25:C10)
Token(identificador, 'x', L25:C15)
Token(asignacion, '=', L25:C17)
Token(numero_entero, '1', L25:C19)
Token(puntoComa, ';', L25:C20)
Token(end_word, 'end', L25:C22)
Token(puntoComa, ';', L25:C25)
Token(if_word, 'if', L26:C1)
Token(identificador, 'x', L26:C4)
Token(mayorQue, '>', L26:C6)
Token(numero_entero, '0', L26:C8)
Token(then_word, 'then', L26:C10)
Token(identificador, 'x', L26:C15)
Token(asignacion, '=', L26:C17)
Token(numero_entero, '1', L26:C19)
Token(puntoComa, ';', L26:C20)
Token(else_word, 'else', L26:C22)
Token(identificador, 'x', L26:C27)
Token(asignacion, '=', L26:C29)
Token(numero_entero, '2', L26:C31)
Token(puntoComa, ';', L26:C32)
Token(end_word, 'end', L26:C34)
Token(puntoComa, ';', L26:C37)
Token(while_word, 'while', L27:C1)
Token(identificador, 'x', L27:C7)
Token(mayorQue, '>', L27:C9)
Token(numero_entero, '0', L27:C11)
Token(identificador, 'x', L27:C13)
Token(asignacion, '=', L27:C15)
Token(identificador, 'x', L27:C17)
Token(resta, '-', L27:C19)
Token(numero_entero, '1', L27:C21)
Token(puntoComa, ';', L27:C22)
Token(end_word, 'end', L27:C24)
Token(puntoComa, ';', L27:C27)
Token(do_word, 'do', L28:C1)
Token(identificador, 'x', L28:C4)
Token(asignacion, '=', L28:C6)
Token(identificador, 'x', L28:C8)
Token(suma, '+', L28:C10)
Token(numero_entero, '1', L28:C12)
Token(puntoComa, ';', L28:C13)
Token(while_word, 'while', L28:C15)
Token(identificador, 'x', L28:C21)
Token(menorQue, '<', L28:C23)
Token(numero_entero, '10', L28:C25)
Token(puntoComa, ';', L28:C27)
Token(while_word, 'while', L29:C1)
Token(identificador, 'x', L29:C7)
Token(mayorQue, '>', L29:C9)
Token(numero_entero, '0', L29:C11)
Token(if_word, 'if', L29:C13)
Token(identificador, 'x', L29:C16)
Token(mayorQue, '>', L29:C18)
Token(numero_entero, '10', L29:C20)
Token(then_word, 'then', L29:C23)
Token(identificador, 'x', L29:C28)
Token(asignacion, '=', L29:C30)
Token(identificador, 'x', L29:C32)
Token(resta, '-', L29:C34)
Token(numero_entero, '1', L29:C36)
Token(puntoComa, ';', L29:C37)
Token(else_word, 'else', L29:C39)
Token(identificador, 'x', L29:C44)
Token(asignacion, '=', L29:C46)
Token(identificador, 'x', L29:C48)
Token(resta, '-', L29:C50)
Token(numero_entero, '2', L29:C52)
Token(puntoComa, ';', L29:C53)
Token(end_word, 'end', L29:C55)
Token(puntoComa, ';', L29:C58)
Token(end_word, 'end', L29:C60)
Token(puntoComa, ';', L29:C63)
Token(llaveDer, '}', L30:C1)
