Token(main_word, 'main', L1:C1)
Token(asignacion, '=', L17:C10)
Token(identificador, 'a', L17:C11)
Token(suma, '+', L17:C12)
Token(numero_entero, '3', L17:C13)
Token(puntoComa, ';', L17:C14)
Token(else_word, 'else', L18:C3)
Token(if_word, 'if', L19:C7)
Token(parentesisIzq, '(', L19:C9)
Token(numero_entero, '4', L19:C10)
Token(mayorQue, '>', L19:C11)
Token(numero_entero, '2', L19:C12)
Token(opAnd, '&&', L19:C14)
Token(identificador, 's', L19:C17)
Token(igual, '==', L19:C18)
Token(numero_entero, '5', L19:C20)
Token(parentesisDer, ')', L19:C21)
Token(then_word, 'then', L19:C22)
Token(identificador, 'b', L20:C14)
Token(asignacion, '=', L20:C15)
Token(numero_flotante, '3.2', L20:C16)
Token(puntoComa, ';', L20:C19)
Token(else_word, 'else', L21:C8)
Token(identificador, 'b', L22:C12)
Token(asignacion, '=', L22:C13)
Token(numero_flotante, '5.0', L22:C14)
Token(puntoComa, ';', L22:C17)
Token(end_word, 'end', L23:C8)
Token(puntoComa, ';', L23:C11)
Token(identificador, 'y', L24:C8)
Token(asignacion, '=', L24:C9)
Token(identificador, 'y', L24:C10)
Token(suma, '+', L24:C11)
Token(numero_entero, '1', L24:C12)
Token(puntoComa, ';', L24:C13)
Token(end_word, 'end', L25:C1)
Token(puntoComa, ';', L25:C4)
Token(identificador, 'a', L26:C1)
Token(incremento, '++', L26:C2)
Token(puntoComa, ';', L26:C4)
Token(identificador, 'c', L27:C1)
Token(decremento, '--', L27:C2)
Token(puntoComa, ';', L27:C4)
Token(identificador, 'x', L28:C1)
Token(asignacion, '=', L28:C2)
Token(numero_entero, '3', L28:C3)
Token(suma, '+', L28:C4)
Token(numero_entero, '4', L28:C5)
Token(puntoComa, ';', L28:C6)
Token(do_word, 'do', L29:C1)
Token(identificador, 'y', L30:C4)
Token(asignacion, '=', L30:C5)
Token(parentesisIzq, '(', L30:C6)
Token(identificador, 'y', L30:C7)
Token(suma, '+', L30:C8)
Token(numero_entero, '1', L30:C9)
Token(parentesisDer, ')', L30:C10)
Token(multiplicacion, '*', L30:C11)
Token(numero_entero, '2', L30:C12)
Token(suma, '+', L30:C13)
Token(numero_entero, '1', L30:C14)
Token(puntoComa, ';', L30:C15)
Token(while_word, 'while', L31:C4)
Token(parentesisIzq, '(', L31:C9)
Token(identificador, 'x', L31:C10)
Token(mayorQue, '>', L31:C11)
Token(numero_entero, '7', L31:C12)
Token(parentesisDer, ')', L31:C13)
Token(identificador, 'x', L31:C14)
Token(asignacion, '=', L31:C15)
Token(numero_entero, '6', L31:C16)
Token(suma, '+', L31:C17)
Token(numero_entero, '8', L31:C18)
Token(division, '/', L31:C19)
Token(numero_entero, '9', L31:C20)
Token(multiplicacion, '*', L31:C21)
Token(numero_entero, '8', L31:C22)
Token(division, '/', L31:C23)
Token(numero_entero, '3', L31:C24)
Token(puntoComa, ';', L31:C25)
Token(cin_word, 'cin', L32:C5)
Token(opIn, '>>', L32:C9)
Token(identificador, 'x', L32:C12)
Token(puntoComa, ';', L32:C13)
Token(identificador, 'mas', L33:C4)
Token(asignacion, '=', L33:C7)
Token(numero_entero, '36', L33:C8)
Token(division, '/', L33:C10)
Token(numero_entero, '7', L33:C11)
Token(puntoComa, ';', L33:C12)
Token(end_word, 'end', L34:C4)
Token(puntoComa, ';', L34:C7)
Token(while_word, 'while', L36:C2)
Token(parentesisIzq, '(', L36:C7)
Token(identificador, 'y', L36:C8)
Token(igual, '==', L36:C9)
Token(numero_entero, '5', L36:C11)
Token(parentesisDer, ')', L36:C12)
Token(puntoComa, ';', L36:C13)
Token(while_word, 'while', L37:C2)
Token(parentesisIzq, '(', L37:C7)
Token(identificador, 'y', L37:C8)
Token(igual, '==', L37:C9)
Token(numero_entero, '0', L37:C11)
Token(parentesisDer, ')', L37:C12)
Token(cin_word, 'cin', L38:C5)
Token(opIn, '>>', L38:C9)
Token(identificador, 'mas', L38:C12)
Token(puntoComa, ';', L38:C15)
Token(cout_word, 'cout', L39:C5)
Token(opOut, '<<', L39:C10)
Token(identificador, 'x', L39:C13)
Token(suma, '+', L39:C14)
Token(numero_entero, '9', L39:C15)
Token(multiplicacion, '*', L39:C16)
Token(numero_entero, '8', L39:C17)
Token(puntoComa, ';', L39:C18)
Token(end_word, 'end', L40:C1)
Token(puntoComa, ';', L40:C4)
Token(llaveDer, '}', L41:C1)
