Token(main_word, 'main', L1:C1)
Token(puntoComa, ';', L17:C18)
Token(else_word, 'else', L18:C5)
Token(identificador, 'z', L19:C9)
Token(asignacion, '=', L19:C11)
Token(identificador, 'y', L19:C13)
Token(resta, '-', L19:C15)
Token(identificador, 'x', L19:C17)
Token(puntoComa, ';', L19:C18)
Token(end_word, 'end', L20:C5)
Token(puntoComa, ';', L20:C8)
Token(while_word, 'while', L22:C5)
Token(identificador, 'x', L22:C11)
Token(mayorQue, '>', L22:C13)
Token(numero_entero, '0', L22:C15)
Token(identificador, 'x', L23:C9)
Token(asignacion, '=', L23:C11)
Token(identificador, 'x', L23:C13)
Token(resta, '-', L23:C15)
Token(numero_entero, '1', L23:C17)
Token(puntoComa, ';', L23:C18)
Token(end_word, 'end', L24:C5)
Token(puntoComa, ';', L24:C8)
Token(do_word, 'do', L26:C5)
Token(identificador, 'y', L27:C9)
Token(asignacion, '=', L27:C11)
Token(identificador, 'y', L27:C13)
Token(suma, '+', L27:C15)
Token(numero_entero, '1', L27:C17)
Token(puntoComa, ';', L27:C18)
Token(while_word, 'while', L28:C5)
Token(identificador, 'y', L28:C11)
Token(menorQue, '<', L28:C13)
Token(numero_entero, '10', L28:C15)
Token(puntoComa, ';', L28:C17)
Token(cin_word, 'cin', L30:C5)
Token(opIn, '>>', L30:C9)
Token(identificador, 'x', L30:C12)
Token(puntoComa, ';', L30:C13)
Token(cout_word, 'cout', L31:C5)
Token(opOut, '<<', L31:C10)
Token(cadena, 'resultado', L31:C13)
Token(puntoComa, ';', L31:C24)
Token(cout_word, 'cout', L32:C5)
Token(opOut, '<<', L32:C10)
Token(identificador, 'promedio', L32:C13)
Token(puntoComa, ';', L32:C21)
Token(cout_word, 'cout', L33:C5)
Token(opOut, '<<', L33:C10)
Token(cadena, 'valor: ', L33:C13)
Token(opOut, '<<', L33:C23)
Token(identificador, 'x', L33:C26)
Token(suma, '+', L33:C28)
Token(numero_entero, '1', L33:C30)
Token(puntoComa, ';', L33:C31)
Token(identificador, 'x', L35:C5)
Token(asignacion, '=', L35:C7)
Token(identificador, 'x', L35:C9)
Token(potencia, '^', L35:C11)
Token(numero_entero, '2', L35:C13)
Token(puntoComa, ';', L35:C14)
Token(identificador, 'y', L36:C5)
Token(asignacion, '=', L36:C7)
Token(opNot, '!', L36:C9)
Token(identificador, 'activo', L36:C10)
Token(puntoComa, ';', L36:C16)
Token(identificador, 'z', L37:C5)
Token(asignacion, '=', L37:C7)
Token(identificador, 'x', L37:C9)
Token(incremento, '++', L37:C10)
Token(suma, '+', L37:C13)
Token(identificador, 'y', L37:C15)
Token(decremento, '--', L37:C16)
Token(puntoComa, ';', L37:C18)
Token(if_word, 'if', L39:C5)
Token(identificador, 'x', L39:C8)
Token(mayorQue, '>', L39:C10)
Token(numero_entero, '0', L39:C12)
Token(opAnd, '&&', L39:C14)
Token(identificador, 'y', L39:C17)
Token(menorQue, '<', L39:C19)
Token(numero_entero, '10', L39:C21)
Token(then_word, 'then', L39:C24)
Token(identificador, 'activo', L40:C9)
Token(asignacion, '=', L40:C16)
Token(bool_value, 'true', L40:C18)
Token(puntoComa, ';', L40:C22)
Token(end_word, 'end', L41:C5)
Token(puntoComa, ';', L41:C8)
Token(if_word, 'if', L43:C5)
Token(identificador, 'x', L43:C8)
Token(igual, '==', L43:C10)
Token(numero_entero, '0', L43:C13)
Token(opOr, '||', L43:C15)
Token(identificador, 'y', L43:C18)
Token(diferente, '!=', L43:C20)
Token(numero_entero, '5', L43:C23)
Token(then_word, 'then', L43:C25)
Token(identificador, 'z', L44:C9)
Token(asignacion, '=', L44:C11)
Token(numero_entero, '0', L44:C13)
Token(puntoComa, ';', L44:C14)
Token(end_word, 'end', L45:C5)
Token(puntoComa, ';', L45:C8)
Token(if_word, 'if', L47:C5)
Token(parentesisIzq, '(', L47:C8)
Token(identificador, 'x', L47:C9)
Token(suma, '+', L47:C11)
Token(identificador, 'y', L47:C13)
Token(parentesisDer, ')', L47:C14)
Token(multiplicacion, '*', L47:C16)
Token(numero_entero, '2', L47:C18)
Token(mayorIgual, '>=', L47:C20)
Token(numero_entero, '10', L47:C23)
Token(then_word, 'then', L47:C26)
Token(cout_word, 'cout', L48:C9)
Token(opOut, '<<', L48:C14)
Token(cadena, 'ok', L48:C17)
Token(puntoComa, ';', L48:C21)
Token(end_word, 'end', L49:C5)
Token(puntoComa, ';', L49:C8)
Token(llaveDer, '}', L50:C1)
